class,precision,recall,f1,support
g,0.9793028322440087,0.986827661909989,0.983050847457627,911
h,0.9933184855233853,0.9791437980241493,0.9861802100608071,911
0,1.0,0.9804347826086957,0.9901207464324918,460
w,0.9873015873015873,0.9936102236421726,0.9904458598726115,313
7,0.9870967741935484,0.9956616052060737,0.9913606911447084,461
u,0.9938144329896907,0.9897330595482546,0.991769547325103,487
8,1.0,0.9847826086956522,0.9923329682365827,460
y,0.9972602739726028,0.9891304347826086,0.9931787175989085,368
6,0.9956331877729258,0.991304347826087,0.9934640522875816,460
e,0.9913606911447084,0.9978260869565218,0.9945828819068254,460
5,0.989247311827957,1.0,0.9945945945945946,460
l,0.9908443540183113,1.0,0.9954011241696474,974
d,0.9945235487404163,0.9967069154774972,0.9956140350877193,911
2,1.0,0.9914893617021276,0.9957264957264957,235
1,0.9957446808510638,0.9957446808510638,0.9957446808510638,235
a,0.9967032967032967,0.995609220636663,0.9961559582646897,911
r,0.9925233644859813,1.0,0.9962476547842403,531
4,1.0,0.9934782608695653,0.9967284623773174,460
o,0.9936421435059037,1.0,0.9968109339407745,1094
q,0.9944649446494465,1.0,0.9972247918593894,539
9,1.0,0.9956521739130435,0.9978213507625272,460
c,1.0,0.9967069154774972,0.9983507421660253,911
z,1.0,0.9969879518072289,0.9984917043740573,332
s,1.0,0.9971910112359551,0.9985935302390998,356
p,1.0,0.9974025974025974,0.9986996098829649,385
f,0.9989023051591658,0.9989023051591658,0.9989023051591658,911
j,0.997828447339848,1.0,0.9989130434782608,919
t,0.9978401727861771,1.0,0.9989189189189189,462
v,1.0,0.99830220713073,0.9991503823279524,589
k,0.9987878787878788,1.0,0.9993935718617344,824
b,0.9989035087719298,1.0,0.9994514536478333,911
3,1.0,1.0,1.0,235
m,1.0,1.0,1.0,438
i,1.0,1.0,1.0,1021
n,1.0,1.0,1.0,596
x,1.0,1.0,1.0,349
