class,precision,recall,f1,support
e,0.8820116054158608,0.991304347826087,0.9334698055271238,460
a,1.0,0.9341383095499451,0.9659477866061295,911
u,0.941747572815534,0.9958932238193019,0.9680638722554891,487
w,1.0,0.939297124600639,0.9686985172981878,313
2,1.0,0.9617021276595744,0.9804772234273319,235
r,0.9980506822612085,0.9642184557438794,0.9808429118773946,531
6,0.9663865546218487,1.0,0.9829059829059829,460
1,0.9871244635193133,0.9787234042553191,0.982905982905983,235
v,0.9913941480206541,0.9779286926994907,0.9846153846153847,589
z,0.9763313609467456,0.9939759036144579,0.9850746268656716,332
k,0.9739952718676123,1.0,0.9868263473053891,824
b,0.9836601307189542,0.991218441273326,0.9874248223072717,911
0,0.9912472647702407,0.9847826086956522,0.9880043620501635,460
5,0.9849462365591398,0.9956521739130435,0.9902702702702703,460
x,1.0,0.9828080229226361,0.9913294797687862,349
8,0.9978021978021978,0.9869565217391304,0.9923497267759563,460
s,0.9888579387186629,0.9971910112359551,0.9930069930069931,356
4,0.9871244635193133,1.0,0.9935205183585313,460
g,0.9945115257958288,0.9945115257958288,0.9945115257958288,911
7,1.0,0.9891540130151844,0.9945474372955289,461
o,0.9963336388634281,0.993601462522852,0.9949656750572083,1094
d,1.0,0.9901207464324918,0.9950358521787093,911
h,0.9956043956043956,0.9945115257958288,0.9950576606260296,911
9,1.0,0.9934782608695653,0.9967284623773174,460
f,0.9978046103183315,0.9978046103183315,0.9978046103183315,911
3,1.0,0.9957446808510638,0.9978678038379531,235
c,0.9978094194961665,1.0,0.9989035087719299,911
n,1.0,1.0,1.0,596
i,1.0,1.0,1.0,1021
m,1.0,1.0,1.0,438
l,1.0,1.0,1.0,974
j,1.0,1.0,1.0,919
t,1.0,1.0,1.0,462
q,1.0,1.0,1.0,539
p,1.0,1.0,1.0,385
y,1.0,1.0,1.0,368
