class,precision,recall,f1,support
2,0.9670781893004116,1.0,0.9832635983263598,235
v,1.0,0.9898132427843803,0.9948805460750852,589
z,0.991044776119403,1.0,0.9955022488755623,332
3,0.9915611814345991,1.0,0.9957627118644067,235
g,1.0,0.9923161361141603,0.9961432506887052,911
h,0.9923747276688453,1.0,0.996172772006561,911
d,1.0,0.995609220636663,0.9977997799779977,911
0,1.0,0.9956521739130435,0.9978213507625272,460
4,0.9956709956709957,1.0,0.9978308026030369,460
s,0.9971988795518207,1.0,0.9985974754558204,356
8,1.0,0.9978260869565218,0.9989118607181718,460
6,1.0,0.9978260869565218,0.9989118607181718,460
5,1.0,0.9978260869565218,0.9989118607181718,460
7,1.0,0.9978308026030369,0.998914223669924,461
t,1.0,0.9978354978354979,0.9989165763813651,462
l,1.0,0.997946611909651,0.998972250770812,974
o,0.9981751824817519,1.0,0.9990867579908677,1094
c,0.9989035087719298,1.0,0.9994514536478333,911
f,1.0,1.0,1.0,911
e,1.0,1.0,1.0,460
9,1.0,1.0,1.0,460
1,1.0,1.0,1.0,235
a,1.0,1.0,1.0,911
b,1.0,1.0,1.0,911
n,1.0,1.0,1.0,596
m,1.0,1.0,1.0,438
k,1.0,1.0,1.0,824
j,1.0,1.0,1.0,919
r,1.0,1.0,1.0,531
q,1.0,1.0,1.0,539
p,1.0,1.0,1.0,385
i,1.0,1.0,1.0,1021
u,1.0,1.0,1.0,487
w,1.0,1.0,1.0,313
x,1.0,1.0,1.0,349
y,1.0,1.0,1.0,368
